证券代码,证券简称,净利润增长率%,加权平均ROE本期,加权平均ROE上年同期,加权平均ROE增长率%,营业收入增长率%,基本
600010,包钢股份,235.5353333333333,0.10066666666666672,-0.6526666666666666,-13.146000000000049,25.93733333333334,-0.001999999999999997
600077,宋都股份,233.6406666666667,0.9546666666666667,0.28733333333333344,317.584,62.029999999999994,0.028000000000000008
600702,舍得酒业,232.610625,3.5106249999999997,1.5368750000000002,220.26000000000002,12.173750000000002,0.25937499999999997
002463,沪电股份,226.61599999999999,2.520666666666666,0.940666666666667,218.02999999999994,10.985333333333333,0.05266666666666666
000830,鲁西化工,225.11200000000002,8.166666666666668,3.7866666666666666,289.1933333333334,16.698666666666668,0.4313333333333333
002362,汉王科技,224.67333333333332,1.7873333333333337,1.1613333333333336,215.43400000000005,16.281333333333333,0.064
000718,苏宁环球,221.51533333333333,6.906666666666666,6.142,172.19666666666666,60.333999999999996,0.16933333333333334
002298,中电兴发,221.30571428571426,2.157857142857143,1.6621428571428571,85.65214285714286,42.878571428571426,0.11285714285714286
002314,南山控股,220.3142857142857,3.2307142857142854,-1.6314285714285717,127.27642857142858,41.68142857142857,0.10357142857142856
600230,沧州大化,219.56769230769234,9.692307692307692,3.949999999999999,89.19846153846156,13.753846153846156,0.7769230769230768
600678,四川金顶,216.35363636363644,-28.94000000000001,-48.00545454545455,-521.9390909090909,62.16272727272729,-0.0063636363636363664
000980,众泰汽车,214.61199999999997,2.6719999999999997,2.182,22.41466666666667,255.30399999999997,0.15066666666666664
600246,万通地产,214.42533333333333,1.2733333333333332,0.6493333333333335,145.268,52.61066666666667,0.04266666666666669
600975,新五丰,214.38466666666667,3.6186666666666674,2.1066666666666665,129.52333333333334,10.471333333333332,0.0713333333333333
600986,科达股份,211.88733333333332,4.880666666666668,4.333333333333332,65.512,146.98133333333334,0.2393333333333333
601100,恒立液压,208.72333333333333,4.4286666666666665,2.0633333333333335,192.8853333333333,45.58466666666666,0.23466666666666663
000078,海王生物,202.62266666666665,8.05,6.912000000000001,145.672,42.86066666666667,0.172
002118,紫鑫药业,199.79066666666665,2.997333333333333,1.0859999999999999,139.33599999999998,31.380666666666666,0.09800000000000002
600679,上海凤凰,199.0,1.7086666666666663,1.2826666666666668,112.57199999999997,33.10333333333334,0.057333333333333326
002145,中核钛白,197.66687499999998,4.098125000000002,2.4306249999999996,173.808125,21.231874999999995,0.060625
002036,联创电子,195.95214285714286,8.975714285714284,7.325000000000001,178.62714285714284,61.985,0.2485714285714286
600711,盛屯矿业,195.88066666666666,4.354666666666666,2.71,169.482,82.45266666666666,0.12733333333333335
600093,易见股份,194.83733333333336,6.877999999999999,6.382666666666665,11.449333333333335,598.6533333333333,0.336
600848,上海临港,193.882,3.6986666666666674,0.16133333333333422,82.09800000000001,20.636666666666667,0.184
000597,东北制药,188.42666666666668,-0.25600000000000006,-0.2960000000000001,195.72,13.92666666666667,-0.020666666666666656
