证券代码,证券简称,净利润增长率%,加权平均ROE本期,加权平均ROE上年同期,加权平均ROE增长率%,营业收入增长率%,基本
000729,燕京啤酒,-151.49,46.48,55.2,-179.94,-48.79,2.12
000731,四川美丰,1765.2,21.55,-19.17,1978.47,-213.62,0.9400000000000001
000732,泰禾集团,346.03,129.13,163.64,-255.38,853.45,11.71
000733,振华科技,443.64,52.48,47.34,273.87,291.82,4.26
000735,罗 牛 山,3712.18,56.86,30.74,2144.67,290.27,1.6800000000000002
000736,中交地产,-13249.87,46.47,16.02,-49403.89,1269.73,3.74
000737,*ST南风,-711.29,-555.14,-375.0,-1322.33,-104.73,-1.63
000738,航发控制,217.51,41.11,38.43,153.66,7.25,1.76
000739,普洛药业,-0.24,86.69,108.37,-157.09,145.07,1.97
000748,长城信息,268.52,12.1,18.34,-72.0,73.13,0.46
000750,国海证券,455.65,92.02,110.35,97.04,223.82,3.1
000751,锌业股份,323.58,52.08,47.65,215.14,317.99,0.8
000752,西藏发展,-56.83,12.3,17.02,-67.05,-23.08,0.36
000753,漳州发展,825.18,16.87,23.64,758.41,-91.36,0.33
000755,山西路桥,-4271.76,-378.62,-369.31,-5138.88,-290.28,-7.64
000756,新华制药,1120.27,65.29,48.35,945.59,147.82,2.9
000757,浩物股份,830.73,63.89,50.91,484.97,240.28,0.85
000758,中色股份,710.31,56.12,54.24,564.3,44.22,1.65
000759,中百集团,3482.69,36.67,21.02,3348.68,-41.98,1.73
000760,斯太尔,-23078.05,-67.38,-28.42,-22623.37,-181.79,-1.3900000000000001
000761,本钢板材,-140.18,30.96,12.16,-345.14,131.23,1.26
000762,西藏矿业,-1737.06,-0.77,-4.03,-1740.79,251.88,-0.06
000766,通化金马,6107.75,37.31,32.2,1223.4,1491.94,1.62
000767,漳泽电力,-4346.84,-16.99,22.51,-119702.98,-1.48,-0.54
000768,中航飞机,307.11,9.63,5.31,255.17,262.98,0.56
000776,广发证券,788.57,123.43,132.11,240.96,616.77,11.67
000777,中核科技,1640.32,40.22,48.85,1563.32,-2.43,1.24
000778,新兴铸管,1065.84,43.24,35.19,889.0,-168.22,2.09
000779,三毛派神,-623.24,-13.43,-44.34,-787.02,82.24,-0.17
000780,平庄能源,-6482.03,-21.78,-31.15,-6641.34,13.83,-0.93
000782,美达股份,1426.71,24.74,-16.31,1244.39,107.95,0.61
000783,长江证券,291.48,117.75,136.82,6.17,314.82,4.27
000785,武汉中商,18018.11,81.15,32.91,14674.27,-31.92,3.14
000786,北新建材,696.94,129.4,127.66,232.57,198.47,8.0
000788,北大医药,-341.17,-17.37,-19.3,-503.59,-15.71,-0.25
000789,万年青,3980.39,113.28,106.77,3334.85,157.17,5.61
000790,泰合健康,-87.72,26.53,16.72,-84.42,70.17,0.46
000791,甘肃电投,2541.86,1.49,-3.79,2734.42,14.51,0.29
000792,盐湖股份,-1767.99,-24.89,21.64,-2199.26,203.17,-1.5899999999999999
000793,华闻传媒,-328.97,46.3,91.23,-512.04,-7.42,1.94
000795,英洛华,985.02,6.95,-32.11,606.44,51.7,0.01
000796,凯撒旅游,646.93,141.25,122.91,1161.41,420.71,2.67
000797,中国武夷,1147.49,66.33,68.14,572.76,186.45,2.17
000798,中水渔业,-771.64,-12.08,-24.68,-1443.12,238.23,-0.14
000799,酒鬼酒,2137.64,67.98,29.89,2169.29,514.49,3.68
000800,一汽轿车,-7139.8,-14.76,-10.36,-6504.48,-5.1,-0.8
000801,四川九洲,112.38,35.54,45.78,268.88,69.31,1.1400000000000001
000802,北京文化,1867.38,27.85,31.17,-473.28,667.41,1.57
000803,金宇车城,-2668.91,-352.1,-331.42,-3774.63,2560.59,-1.98
000806,银河生物,-6085.6,26.08,43.4,-8751.22,392.7,0.30000000000000004
000807,云铝股份,1944.25,16.02,-24.45,13858.05,99.61,0.5700000000000001
000809,铁岭新城,-10304.66,-41.94,-49.5,-10871.52,890.88,-1.8399999999999999
000811,冰轮环境,2228.68,118.64,118.66,1877.48,78.68,5.3
000813,德展健康,-826.11,142.31,102.31,10552.95,511.71,2.7800000000000002
000815,美利云,8094.12,12.39,-337.29,7419.99,907.23,0.39
000818,航锦科技,1814.85,66.82,37.74,1534.88,133.26,2.3
000819,岳阳兴长,1188.35,40.35,44.53,1152.15,181.46,1.06
000820,神雾节能,-5254.64,155.8,147.24,-2554.62,-248.3,1.98
000821,京山轻机,4768.87,65.08,29.42,4206.06,419.6,2.35
000822,山东海化,16881.78,124.18,78.0,15891.61,97.48,3.52
000823,超声电子,258.24,45.81,47.47,157.47,85.58,2.56
000825,太钢不锈,-2298.22,51.39,9.14,-3196.42,-34.97,2.37
000826,启迪桑德,271.45,112.32,128.29,-190.88,508.33,9.39
000828,东莞控股,246.31,155.88,152.86,60.43,245.5,7.43
000829,天音控股,-1372.19,5.47,25.82,-1502.89,96.94,0.13
000830,鲁西化工,3376.68,122.5,56.8,4337.9,250.48,6.47
000831,五矿稀土,-3090.44,-10.24,-24.01,-5213.26,1144.45,-0.27
000833,粤桂股份,2787.19,26.62,14.04,3107.04,170.19,1.01
000835,长城动漫,-5548.74,-53.72,-57.12,-7585.69,-349.72,-0.24
000836,富通鑫茂,1221.02,21.95,-37.82,1142.76,474.95,0.31
000837,秦川机床,-8054.39,-17.23,-18.66,-4858.13,-36.91,-0.71
000838,财信发展,397.02,80.24,114.38,-179.5,2540.16,1.75
000839,中信国安,207.13,36.2,38.52,121.71,224.95,1.04
000848,承德露露,-10.76,265.21,315.31,-212.95,-88.86,5.33
000850,华茂股份,2799.57,27.45,32.0,2590.46,135.63,1.24
000851,高鸿股份,413.78,20.65,16.58,260.28,237.78,0.9400000000000001
000852,石化机械,-23423.05,-102.8,-81.73,-24559.97,-208.62,-3.69
000856,冀东装备,2617.91,-53.0,-121.1,2085.37,149.55,-1.03
000858,五 粮 液,289.0,169.15,157.88,111.31,266.55,21.49
000859,国风塑业,-1041.9,12.44,0.81,-596.0,-37.69,0.23
000860,顺鑫农业,311.43,75.75,80.41,34.82,94.85,8.22
000861,海印股份,-81.61,52.54,70.81,-267.53,122.5,0.78
000862,银星能源,-2764.12,-25.39,-40.0,-1625.86,-75.56,-0.8200000000000001
000863,三湘印象,4130.57,65.1,72.01,2711.55,5426.67,2.46
000868,安凯客车,-1968.15,-60.1,10.47,-2326.42,-57.29,-0.9
000869,张 裕Ａ,10.57,138.66,149.5,-105.32,80.89,16.26
000875,吉电股份,-1822.95,15.53,17.73,-708.0,167.25,0.43
000876,新 希 望,112.53,105.98,115.75,-80.01,-6.99,6.58
000877,天山股份,7317.87,-1.12,-13.63,7199.06,80.04,-0.22
000878,云南铜业,1155.64,20.44,6.85,978.96,-8.61,0.87
000880,潍柴重机,371.1,26.64,27.08,324.45,-57.01,1.27
000881,中广核技,-4037.26,-153.98,-154.74,13852.1,592.14,-6.17
000882,华联股份,2291.24,22.33,17.15,1786.74,-22.9,0.62
000883,湖北能源,1238.52,97.98,94.85,905.99,218.59,3.32
000885,城发环境,-132.75,78.04,42.28,77914.86,-213.38,4.77
000886,海南高速,639.15,34.31,16.76,613.27,835.14,0.9400000000000001
000887,中鼎股份,394.07,178.16,193.57,-103.87,425.82,7.98
000888,峨眉山Ａ,506.24,74.2,77.21,341.99,77.3,2.81
000889,中嘉博创,327.99,77.61,79.07,-15.77,158.16,3.02
000890,法 尔 胜,126.08,60.6,34.4,7039.96,57.46,1.63
000892,欢瑞世纪,962.24,43.33,43.69,1101.92,742.5,1.2
000893,*ST东凌,-12454.05,-143.94,-211.37,-17704.57,-736.26,-3.81
000895,双汇发展,40.17,254.78,248.74,32.9,56.4,11.81
000897,津滨发展,-3316.52,-40.03,-16.73,-3237.24,-175.95,-0.32
000898,鞍钢股份,-2369.77,41.2,12.74,-2819.67,140.64,2.85
000899,赣能股份,-154.79,102.54,145.29,-430.66,-48.88,4.09
000900,现代投资,449.35,87.29,74.69,286.86,838.32,5.62
000901,航天科技,554.89,26.61,27.81,326.5,179.85,1.6600000000000001
000902,新洋丰,269.27,152.85,173.37,-109.54,114.79,7.29
000903,云内动力,286.08,53.41,53.64,7.82,457.9,2.05
000905,厦门港务,-370.09,48.31,65.09,-419.4,296.36,2.48
000906,浙商中拓,462.55,80.63,74.22,121.26,504.01,2.88
000908,景峰医药,-149.29,70.24,102.77,-340.68,44.13,1.82
000909,数源科技,36.7,31.68,36.38,-139.0,264.06,0.92
000910,大亚圣象,683.53,116.43,89.71,536.74,-42.95,6.33
000911,南宁糖业,-10558.57,-106.35,-78.74,-13686.46,162.95,-6.5
000912,*ST天化,-4196.09,-24880.72,-24779.64,-53308.74,35.69,-2.2
000913,钱江摩托,2036.48,30.51,4.4,2023.66,122.1,1.51
000915,山大华特,189.45,146.73,167.35,-61.56,156.78,9.09
000916,华北高速,480.87,121.23,116.07,321.57,466.14,5.1
000919,金陵药业,-56.02,68.78,76.35,-114.93,69.79,3.39
000920,南方汇通,706.29,100.26,102.64,895.97,-167.26,2.09
000921,海信家电,362.65,225.95,229.47,18.96,134.61,8.34
000922,佳电股份,2580.87,-48.84,-65.88,-3650.49,-50.27,-1.3900000000000001
000923,河北宣工,-6775.26,-18.63,-40.1,-6869.84,194.95,0.64
000925,众合科技,-1858.34,-4.82,-14.6,-1622.88,174.96,-0.1
000926,福星股份,206.05,79.65,80.6,48.35,146.92,7.97
000927,一汽夏利,-369.58,-607.55,-370.87,-1755.37,-240.81,-4.21
000928,中钢国际,20650.37,123.08,-14.17,405.15,-195.4,5.12
000929,兰州黄河,2708.25,27.07,68.34,2013.31,-162.42,1.1400000000000001
000930,中粮生化,-5711.06,-14.76,-54.7,-7691.74,2.12,-0.9400000000000001
000931,中 关 村,1450.81,62.87,37.62,1400.58,61.31,0.72
000932,华菱钢铁,-6546.71,80.9,-52.76,-8472.07,238.17,3.37
000933,神火股份,546.51,36.0,1.65,943.39,-77.58,1.13
000935,四川双马,2609.6,35.77,3.55,2027.82,-23.01,1.4100000000000001
000936,华西股份,2324.55,59.89,52.2,1351.96,182.84,2.6
000937,冀中能源,19851.59,27.22,13.98,19818.45,127.98,1.46
000938,紫光股份,2361.78,55.37,61.25,-105.4,801.3,9.9
000939,*ST凯迪,-2600.97,-30.34,43.09,-3882.83,21.54,-0.15
000950,重药控股,1159.4,-73.48,-144.01,430.51,568.31,-1.5
000951,中国重汽,777.68,102.72,89.12,587.93,330.88,8.45
000952,广济药业,2672.31,135.06,29.97,2339.28,305.96,3.65
000953,ST河化,-628.87,-138.07,-40.8,-2133.78,65.79,-0.79
000955,欣龙控股,-2510.18,-36.0,-30.0,-2659.88,488.52,-0.45
000957,中通客车,1577.07,130.9,220.98,190.12,324.84,6.63
000958,东方能源,-220.83,143.02,203.8,-153.53,-49.82,4.27
000959,首钢股份,-8574.04,26.09,1.8399999999999999,-8731.17,141.38,1.29
000960,锡业股份,7156.14,-10.22,-22.92,2241.59,176.12,-0.63
000961,中南建设,507.61,54.59,62.67,142.12,357.35,2.79
000962,东方钽业,-1412.73,-141.23,-133.18,-1895.13,-257.33,-5.03
000963,华东医药,1597.59,863.01,887.73,354.81,627.18,70.5
000966,长源电力,-70.36,137.73,226.95,-265.48,-24.22,5.97
000967,盈峰环境,1272.58,61.49,51.3,405.93,209.06,2.58
000968,蓝焰控股,-299.54,-161.35,-180.78,-761.21,91.94,-4.5600000000000005
000969,安泰科技,1236.69,11.65,6.94,1383.77,78.18,0.48
000970,中科三环,-81.02,61.18,67.63,-149.19,15.3,2.33
000971,高升控股,5288.16,-134.75,-303.62,514.2,5177.29,1.26
