,证券代码,证券简称,报告期,披露日期,本期净利润,上年同期净利润,净利润增长率%,加权平均ROE本期,加权平均ROE上年同期,加权平均ROE增长率%,营业收入本期,营业收入上年同期,营业收入增长率%,经营现金流,基本
9872,002335,科华恒盛,2016-03-31,2015/4/23,2302.33万,1019.48万,125.83,1.77,0.9,96.67,2.90亿,2.15亿,35.06,-1.59亿,0.1
9873,002335,科华恒盛,2015-12-31,2015/3/6,1.46亿,1.27亿,14.94,12.16,11.82,2.88,16.70亿,14.86亿,12.39,2.00亿,0.66
9874,002335,科华恒盛,2015-09-30,2014/10/29,7318.91万,6999.65万,4.56,6.3,6.67,-5.55,9.41亿,7.83亿,20.2,-1.40亿,0.33
9875,002335,科华恒盛,2015-06-30,2014/8/15,1645.68万,4943.15万,-66.71,1.44,4.7,-69.36,5.15亿,4.62亿,11.43,-1.40亿,0.07
9876,002335,科华恒盛,2015-03-31,2014/4/22,1019.48万,1957.97万,-47.93,0.9,1.88,-52.13,2.15亿,1.94亿,10.4,-1.16亿,0.05
10053,002341,新纶科技,2018-09-30,2017/10/25,3.06亿,1.22亿,150.47,7.15,3.7,93.24,25.29亿,14.46亿,74.87,-1.91亿,0.28
10054,002341,新纶科技,2018-06-30,2017/8/8,1.56亿,7395.10万,111.61,4.14,2.25,84.0,15.02亿,9.03亿,66.26,-503.34万,0.15
10055,002341,新纶科技,2018-03-31,2017/4/26,5124.17万,2276.11万,125.13,1.53,0.7,118.57,5.09亿,3.43亿,48.11,1650.73万,0.1
10056,002341,新纶科技,2017-12-31,2017/4/25,1.73亿,5014.69万,244.05,5.18,3.44,50.58,20.64亿,16.58亿,24.48,9040.65万,0.34
10057,002341,新纶科技,2017-09-30,2016/10/26,1.22亿,5156.34万,136.98,3.7,3.52,5.11,14.46亿,9.64亿,50.08,-1.21亿,0.24
10058,002341,新纶科技,2017-06-30,2016/8/24,7395.10万,4182.22万,76.82,2.25,2.86,-21.33,9.03亿,5.74亿,57.39,-1074.61万,0.15
10059,002341,新纶科技,2017-03-31,2016/4/22,2276.11万,2050.28万,11.01,0.7,1.41,-50.35,3.43亿,2.78亿,23.37,-1.31亿,0.05
10060,002341,新纶科技,2016-12-31,2016/3/8,5014.69万,-1.07亿,147.04,3.44,-7.13,148.25,16.58亿,10.24亿,61.94,1.07亿,0.13
10061,002341,新纶科技,2016-09-30,2015/10/27,5156.34万,477.41万,980.07,3.52,0.62,467.74,9.64亿,7.82亿,23.26,-4833.82万,0.14
10062,002341,新纶科技,2016-06-30,2015/8/5,4182.22万,2295.86万,82.16,2.86,1.47,94.56,5.74亿,5.57亿,3.0,-2142.56万,0.11
10063,002341,新纶科技,2016-03-31,2015/4/28,2050.28万,969.01万,111.58,1.41,0.62,127.42,2.78亿,2.45亿,13.53,-4992.28万,0.05
10064,002341,新纶科技,2015-12-31,2015/3/11,-1.07亿,8708.44万,-222.43,-7.13,5.74,-224.22,10.24亿,13.49亿,-24.08,1.30亿,-0.29
10065,002341,新纶科技,2015-09-30,2014/10/25,477.41万,8056.38万,-94.07,0.62,5.31,-88.32,7.82亿,10.38亿,-24.67,5130.16万,0.01
10066,002341,新纶科技,2015-06-30,2014/8/19,2295.86万,7035.93万,-67.37,1.47,4.66,-68.45,5.57亿,7.02亿,-20.59,6679.40万,0.06
10067,002341,新纶科技,2015-03-31,2014/4/29,969.01万,1603.52万,-39.57,0.62,1.08,-42.59,2.45亿,2.15亿,14.07,-1903.30万,0.03
10117,002343,慈文传媒,2018-09-30,2017/10/25,2.45亿,1.50亿,64.19,8.99,9.39,-4.26,13.30亿,5.62亿,136.57,-1.87亿,0.52
10118,002343,慈文传媒,2018-06-30,2017/8/25,1.93亿,7618.47万,153.4,7.19,5.58,28.85,7.58亿,3.33亿,127.37,-780.36万,0.56
10119,002343,慈文传媒,2018-03-31,2017/4/28,8734.87万,2857.13万,205.72,3.18,1.45,119.31,2.86亿,1.11亿,157.82,-5067.34万,0.26
10120,002343,慈文传媒,2017-12-31,2017/4/28,4.08亿,2.90亿,40.78,25.31,24.17,4.72,16.66亿,18.26亿,-8.79,1.61亿,1.29
10121,002343,慈文传媒,2017-09-30,2016/10/27,1.50亿,1.46亿,2.42,9.39,13.35,-29.66,5.62亿,8.53亿,-34.06,-3804.28万,0.48
10122,002343,慈文传媒,2017-06-30,2016/8/25,7618.47万,9239.42万,-17.54,5.58,8.53,-34.58,3.33亿,4.29亿,-22.33,-1.12亿,0.24
10123,002343,慈文传媒,2017-03-31,2016/4/29,2857.13万,2050.18万,39.36,1.45,1.83,-20.77,1.11亿,1.25亿,-10.88,-4113.11万,0.09
10124,002343,慈文传媒,2016-12-31,2016/4/29,2.90亿,1.99亿,45.63,24.17,23.1,4.63,18.26亿,8.56亿,113.34,1.01亿,0.92
10125,002343,慈文传媒,2016-09-30,2015/10/30,1.46亿,4624.54万,215.65,13.35,5.66,135.87,8.53亿,2.94亿,190.12,-330.32万,0.46
10126,002343,慈文传媒,2016-06-30,2015/8/27,9239.42万,-2976.48万,410.41,8.53,4.05,110.62,4.29亿,1764.94万,2330.53,1.19亿,0.29
10127,002343,慈文传媒,2016-03-31,2015/4/21,2050.18万,-984.61万,308.22,1.83,1.15,59.13,1.25亿,347.72万,3483.43,-1935.82万,0.07
10128,002343,慈文传媒,2015-12-31,2015/3/10,1.99亿,1.21亿,63.99,23.1,4.57,405.47,8.56亿,4.94亿,73.2,-9673.01万,0.76
10129,002343,慈文传媒,2015-09-30,2014/10/30,4624.54万,3445.43万,34.22,5.66,2.77,104.33,2.94亿,1.50亿,95.66,-1.55亿,0.29
10130,002343,慈文传媒,2015-06-30,2014/7/31,4937.55万,3177.17万,55.41,4.05,2.66,52.26,8.48亿,7.54亿,12.55,2679.32万,0.25
10131,002343,慈文传媒,2015-03-31,2014/4/29,1378.59万,781.29万,76.45,1.15,0.66,74.24,3.71亿,3.23亿,15.01,-3150.13万,0.07
10213,002346,柘中股份,2018-09-30,2017/10/28,5222.57万,2.44亿,-78.63,2.52,13.71,-81.62,4.42亿,2.20亿,101.31,1.21亿,0.12
10214,002346,柘中股份,2018-06-30,2017/8/25,4359.23万,4067.42万,7.17,2.07,2.42,-14.46,2.91亿,1.36亿,113.88,1.15亿,0.1
10215,002346,柘中股份,2018-03-31,2017/4/27,1614.23万,1737.10万,-7.07,0.76,1.05,-27.62,1.64亿,5795.44万,183.84,2763.79万,0.04
10216,002346,柘中股份,2017-12-31,2017/4/27,2.59亿,2016.19万,1185.87,13.81,1.29,970.54,4.53亿,4.22亿,7.44,594.08万,0.59
10217,002346,柘中股份,2017-09-30,2016/10/25,2.44亿,1202.91万,1931.83,13.71,0.77,1680.52,2.20亿,2.62亿,-16.05,5248.37万,0.55
10218,002346,柘中股份,2017-06-30,2016/8/18,4067.42万,7968.02万,-48.95,2.42,5.12,-52.73,1.36亿,1.68亿,-18.78,3311.18万,0.09
10219,002346,柘中股份,2017-03-31,2016/4/21,1737.10万,1061.42万,63.66,1.05,0.71,47.89,5795.44万,6139.57万,-5.61,-15.41万,0.04
10220,002346,柘中股份,2016-12-31,2016/4/21,2016.19万,1.16亿,-82.59,1.29,7.93,-83.73,4.22亿,4.38亿,-3.6,-2.29亿,0.05
10221,002346,柘中股份,2016-09-30,2015/10/27,1202.91万,9866.40万,-87.81,0.77,6.66,-88.44,2.62亿,2.94亿,-10.99,1.33亿,0.03
10222,002346,柘中股份,2016-06-30,2015/8/27,7968.02万,9682.47万,-17.71,5.12,6.53,-21.59,1.68亿,2.06亿,-18.4,6695.85万,0.18
10223,002346,柘中股份,2016-03-31,2015/4/29,1061.42万,2034.62万,-47.83,0.71,1.4,-49.29,6139.57万,1.30亿,-52.63,2875.24万,0.02
10224,002346,柘中股份,2015-12-31,2015/4/29,1.16亿,8441.51万,37.21,7.93,6.05,31.07,4.38亿,4.63亿,-5.56,1575.24万,0.26
10225,002346,柘中股份,2015-09-30,2014/10/28,9866.40万,3199.91万,208.33,6.66,0.32,1981.25,2.94亿,2.72亿,8.17,4600.62万,0.22
10226,002346,柘中股份,2015-06-30,2014/8/19,9682.47万,4340.71万,123.06,6.53,-0.06,10983.33,2.06亿,2.17亿,-5.47,6253.42万,0.22
10227,002346,柘中股份,2015-03-31,2014/4/25,2034.62万,382.95万,431.3,1.4,-0.19,836.84,1.30亿,9007.68万,43.9,-7346.02万,0.05
10308,002349,精华制药,2018-12-31,2018/2/28,2.30亿,1.75亿,31.0,9.91,7.99,24.03,13.55亿,11.21亿,20.86,8343.01万,0.28
10309,002349,精华制药,2018-09-30,2017/10/30,1.72亿,1.30亿,32.3,7.33,5.99,22.37,9.24亿,7.96亿,16.03,1796.74万,0.21
10310,002349,精华制药,2018-06-30,2017/7/31,1.27亿,9632.05万,31.99,5.44,4.45,22.25,6.17亿,5.82亿,6.01,1034.64万,0.15
10311,002349,精华制药,2018-03-31,2017/4/21,6009.32万,3195.12万,88.08,2.6,1.48,75.68,3.26亿,3.03亿,7.54,-1503.37万,0.07
10312,002349,精华制药,2017-12-31,2017/2/9,1.75亿,1.65亿,6.24,7.99,7.89,1.27,11.21亿,8.81亿,27.16,7592.26万,0.21
10313,002349,精华制药,2017-09-30,2016/10/25,1.30亿,1.13亿,15.59,5.99,5.45,9.91,7.96亿,6.12亿,30.08,3244.03万,0.15
10314,002349,精华制药,2017-06-30,2016/8/30,9632.05万,8083.07万,19.16,4.45,3.92,13.52,5.82亿,4.28亿,36.08,-2159.05万,0.11
10315,002349,精华制药,2017-03-31,2016/4/12,3195.12万,4180.69万,-23.57,1.48,2.03,-27.09,3.03亿,2.18亿,38.98,-5868.57万,0.04
10316,002349,精华制药,2016-12-31,2016/2/2,1.65亿,7808.11万,111.36,7.89,5.56,41.91,8.81亿,7.80亿,12.96,3.44亿,0.39
10317,002349,精华制药,2016-09-30,2015/10/20,1.13亿,4851.18万,132.1,5.45,3.45,57.97,6.12亿,4.76亿,28.49,2.80亿,0.27
10318,002349,精华制药,2016-06-30,2015/7/25,8083.07万,3138.19万,157.57,3.92,2.26,73.45,4.28亿,2.93亿,46.12,1.91亿,0.19
10319,002349,精华制药,2016-03-31,2015/4/17,4180.69万,1351.29万,209.38,2.03,0.97,109.28,2.18亿,1.41亿,55.06,1.14亿,0.1
10320,002349,精华制药,2015-12-31,2015/2/16,7808.11万,3946.78万,97.83,5.56,5.76,-3.47,7.80亿,5.78亿,35.06,-7601.16万,0.3
10321,002349,精华制药,2015-09-30,2014/10/27,4851.18万,2976.06万,63.01,3.45,4.37,-21.05,4.76亿,4.34亿,9.82,1848.80万,0.19
10322,002349,精华制药,2015-06-30,2014/8/25,3138.19万,2139.26万,46.7,2.26,3.14,-28.03,2.93亿,3.06亿,-4.33,1448.28万,0.12
10323,002349,精华制药,2015-03-31,2014/4/11,1351.29万,1037.79万,30.21,0.97,1.54,-37.01,1.41亿,1.59亿,-11.57,984.28万,0.05
10529,002356,赫美集团,2018-09-30,2017/10/27,-2.50亿,1.14亿,-318.1,-14.9,7.11,-309.56,15.89亿,18.88亿,-15.83,-2.48亿,-0.47
10530,002356,赫美集团,2018-06-30,2017/8/30,-1.61亿,8516.64万,-289.15,-9.37,5.34,-275.47,11.49亿,13.58亿,-15.34,-2.89亿,-0.52
10531,002356,赫美集团,2018-03-31,2017/4/28,2302.04万,1552.02万,48.33,1.27,0.99,28.28,6.27亿,7.81亿,-19.69,-2.37亿,0.07
10532,002356,赫美集团,2017-12-31,2017/4/28,1.44亿,1.39亿,3.41,8.31,8.66,-4.04,24.10亿,21.27亿,13.34,-2.49亿,0.46
10533,002356,赫美集团,2017-09-30,2016/10/28,1.14亿,1.30亿,-12.26,7.11,8.12,-12.44,18.88亿,15.27亿,23.67,-2.56亿,0.37
10534,002356,赫美集团,2017-06-30,2016/8/15,8516.64万,9358.65万,-9.0,5.34,5.88,-9.18,13.58亿,9.96亿,36.32,-2.45亿,0.27
10535,002356,赫美集团,2017-03-31,2016/4/29,1552.02万,2025.13万,-23.36,0.99,1.3,-23.85,7.81亿,3.71亿,110.37,-1.76亿,0.05
10536,002356,赫美集团,2016-12-31,2016/3/15,1.39亿,1.06亿,31.87,8.66,7.02,23.36,21.27亿,12.62亿,68.52,5225.69万,0.45
10537,002356,赫美集团,2016-09-30,2015/10/29,1.30亿,6108.19万,113.54,8.12,6.32,28.48,15.27亿,7.23亿,111.3,-4.55亿,0.42
10538,002356,赫美集团,2016-06-30,2015/8/28,9358.65万,5762.29万,62.41,5.88,5.97,-1.51,9.96亿,5.18亿,92.32,-3.83亿,0.3
10539,002356,赫美集团,2016-03-31,2015/4/27,2025.13万,114.40万,1670.24,1.3,0.12,983.33,3.71亿,2.16亿,72.15,-1.87亿,0.07
10540,002356,赫美集团,2015-12-31,2015/3/31,1.06亿,4356.62万,142.37,7.02,3.91,79.54,12.62亿,7.74亿,63.03,-1.97亿,0.34
10541,002356,赫美集团,2015-09-30,2014/10/29,6108.19万,934.89万,553.36,6.32,0.94,572.34,7.23亿,3.81亿,89.39,-2.87亿,0.2
10542,002356,赫美集团,2015-06-30,2014/8/22,5762.29万,361.55万,1493.78,5.97,0.39,1430.77,5.18亿,1.92亿,170.03,-2.77亿,0.19
10543,002356,赫美集团,2015-03-31,2014/4/17,114.40万,51.49万,122.16,0.12,0.05,140.0,2.16亿,9510.53万,126.85,-8749.61万,0.01
10624,002359,北讯集团,2018-09-30,2017/10/17,5.36亿,1.48亿,262.66,8.43,3.96,112.88,27.82亿,14.33亿,94.15,8.31亿,0.49
10625,002359,北讯集团,2018-06-30,2017/8/22,2.61亿,2551.90万,922.77,4.2,1.0,320.0,19.69亿,6.89亿,185.92,5.18亿,0.24
10626,002359,北讯集团,2018-03-31,2017/4/24,1.04亿,-546.16万,2006.2,1.7,-0.61,378.69,8.52亿,2.44亿,249.44,64.74万,0.1
10627,002359,北讯集团,2017-12-31,2017/2/17,2.18亿,-4841.51万,549.51,5.04,-5.28,195.45,20.96亿,9.40亿,122.93,5.42亿,0.21
10628,002359,北讯集团,2017-09-30,2016/10/15,1.48亿,-5105.75万,389.35,3.96,-5.58,170.97,14.33亿,6.06亿,136.57,3.91亿,0.27
10629,002359,北讯集团,2017-06-30,2016/8/10,2551.90万,2279.91万,11.93,1.0,2.39,-58.16,6.89亿,3.83亿,80.06,4.34亿,0.05
10630,002359,北讯集团,2017-03-31,2016/4/20,-546.16万,625.14万,-187.37,-0.61,0.66,-192.42,2.44亿,1.44亿,68.77,-2719.36万,-0.01
10631,002359,北讯集团,2016-12-31,2016/1/25,-4841.51万,1139.83万,-524.76,-5.28,1.22,-532.79,9.40亿,6.62亿,42.11,575.54万,-0.12
10632,002359,北讯集团,2016-09-30,2015/10/28,-5105.75万,232.57万,-2295.36,-5.58,0.25,-2332.0,6.06亿,4.79亿,26.34,-6360.09万,-0.12
10633,002359,北讯集团,2016-06-30,2015/7/21,2279.91万,94.35万,2316.5,2.39,0.1,2290.0,3.83亿,3.50亿,9.34,777.88万,0.05
10634,002359,北讯集团,2016-03-31,2015/4/24,625.14万,-1087.50万,157.48,0.66,-1.18,155.93,1.44亿,1.48亿,-2.7,59.57万,0.01
10635,002359,北讯集团,2015-12-31,2015/2/17,1139.83万,-8224.78万,113.86,1.22,-8.48,114.39,6.62亿,5.90亿,12.05,-1503.11万,0.03
10636,002359,北讯集团,2015-09-30,2014/10/29,232.57万,-1572.20万,114.79,0.25,-1.91,113.09,4.79亿,4.12亿,16.46,-3864.71万,0.01
10637,002359,北讯集团,2015-06-30,2014/8/12,94.35万,-1257.41万,107.5,0.1,-1.46,106.85,3.50亿,2.59亿,35.01,-4678.09万,0.0
10638,002359,北讯集团,2015-03-31,2014/4/25,-1087.50万,-470.19万,-131.29,-1.18,-0.56,-110.71,1.48亿,1.19亿,25.24,-2772.30万,-0.03
10717,002362,汉王科技,2018-09-30,2017/10/26,2683.14万,3325.39万,-19.31,3.17,4.24,-25.24,4.68亿,4.03亿,16.12,-3013.38万,0.12
10718,002362,汉王科技,2018-06-30,2017/8/24,2056.26万,2015.17万,2.04,2.42,2.53,-4.35,2.97亿,2.62亿,13.19,-3403.54万,0.09
10719,002362,汉王科技,2018-03-31,2017/4/26,945.52万,900.30万,5.02,1.15,1.17,-1.71,1.37亿,1.26亿,8.97,-2914.47万,0.04
10720,002362,汉王科技,2017-12-31,2017/2/28,4325.49万,2131.92万,102.89,5.47,2.83,93.29,6.04亿,4.16亿,45.42,4154.47万,0.2
10721,002362,汉王科技,2017-09-30,2016/10/27,3325.39万,1498.15万,121.97,4.24,2.0,112.0,4.03亿,2.76亿,46.37,1415.37万,0.15
10722,002362,汉王科技,2017-06-30,2016/8/19,2015.17万,810.24万,148.71,2.53,1.09,132.11,2.62亿,1.84亿,42.33,263.85万,0.09
10723,002362,汉王科技,2017-03-31,2016/4/23,900.30万,354.65万,153.85,1.17,0.48,143.75,1.26亿,8800.93万,43.21,127.49万,0.04
10724,002362,汉王科技,2016-12-31,2016/3/26,2131.92万,482.23万,342.1,2.83,0.66,328.79,4.16亿,3.64亿,14.13,5194.19万,0.1
10725,002362,汉王科技,2016-09-30,2015/10/24,1498.15万,-130.78万,1245.57,2.0,-0.18,1211.11,2.76亿,2.65亿,3.84,1237.93万,0.07
10726,002362,汉王科技,2016-06-30,2015/7/31,810.24万,51.08万,1486.08,1.09,0.07,1457.14,1.84亿,1.82亿,1.16,454.23万,0.04
10727,002362,汉王科技,2016-03-31,2015/4/24,354.65万,-213.65万,266.0,0.48,-0.29,265.52,8800.93万,8766.14万,0.4,93.94万,0.02
10728,002362,汉王科技,2015-12-31,2015/3/31,482.23万,1065.32万,-54.73,0.66,1.47,-55.1,3.64亿,3.54亿,2.79,3609.69万,0.02
10729,002362,汉王科技,2015-09-30,2014/10/25,-130.78万,491.89万,-126.59,-0.18,0.68,-126.47,2.65亿,2.55亿,4.02,64.50万,-0.01
10730,002362,汉王科技,2015-06-30,2014/8/23,51.08万,299.13万,-82.92,0.07,0.42,-83.33,1.82亿,1.69亿,7.65,-262.27万,0.0
10731,002362,汉王科技,2015-03-31,2014/4/26,-213.65万,177.18万,-220.58,-0.29,0.25,-216.0,8766.14万,9264.51万,-5.38,-692.07万,-0.01
10810,002365,永安药业,2018-09-30,2017/10/25,1.52亿,1.21亿,25.86,10.4,9.88,5.26,7.28亿,6.45亿,12.85,2.42亿,0.52
10811,002365,永安药业,2018-06-30,2017/8/18,1.06亿,7138.26万,48.52,7.4,5.87,26.06,5.07亿,4.28亿,18.33,1.57亿,0.37
10812,002365,永安药业,2018-03-31,2017/4/27,4528.20万,2603.75万,73.91,3.32,2.05,61.95,2.28亿,1.79亿,27.58,5271.56万,0.23
10813,002365,永安药业,2017-12-31,2017/3/30,1.33亿,6229.70万,113.74,9.92,5.43,82.69,9.33亿,5.49亿,69.78,1.97亿,0.71
10814,002365,永安药业,2017-09-30,2016/10/27,1.21亿,5054.09万,138.69,9.88,4.43,123.02,6.45亿,4.28亿,50.57,8478.86万,0.61
10815,002365,永安药业,2017-06-30,2016/8/19,7138.26万,3452.11万,106.78,5.87,3.05,92.46,4.28亿,2.92亿,46.77,7759.58万,0.35
10816,002365,永安药业,2017-03-31,2016/4/23,2603.75万,905.94万,187.41,2.05,0.81,153.09,1.79亿,1.22亿,46.85,-2749.59万,0.13
10817,002365,永安药业,2016-12-31,2016/3/31,6229.70万,1761.26万,253.71,5.43,1.58,243.67,5.49亿,5.56亿,-1.17,8453.42万,0.33
10818,002365,永安药业,2016-09-30,2015/10/27,5054.09万,1779.30万,184.05,4.43,1.6,176.87,4.28亿,4.17亿,2.69,7390.98万,0.27
10819,002365,永安药业,2016-06-30,2015/8/27,3452.11万,1230.06万,180.65,3.05,1.1,177.27,2.92亿,3.01亿,-3.04,6012.89万,0.18
10820,002365,永安药业,2016-03-31,2015/4/23,905.94万,614.76万,47.36,0.81,0.55,47.27,1.22亿,1.36亿,-10.61,-103.96万,0.05
10821,002365,永安药业,2015-12-31,2015/3/27,1761.26万,3172.23万,-44.48,1.58,2.9,-45.52,5.56亿,6.58亿,-15.57,7060.66万,0.09
10822,002365,永安药业,2015-09-30,2014/10/29,1779.30万,3033.66万,-41.35,1.6,2.81,-43.06,4.17亿,4.77亿,-12.61,2850.74万,0.1
10823,002365,永安药业,2015-06-30,2014/8/22,1230.06万,1915.99万,-35.8,1.1,1.76,-37.5,3.01亿,2.79亿,7.95,2281.50万,0.07
10824,002365,永安药业,2015-03-31,2014/4/26,614.76万,188.60万,225.96,0.55,0.17,223.53,1.36亿,1.33亿,2.13,981.60万,0.03
10840,002366,台海核电,2018-09-30,2017/10/26,3.36亿,6.54亿,-48.64,19.61,31.23,-37.21,10.38亿,16.06亿,-35.38,1.46亿,0.39
10841,002366,台海核电,2018-06-30,2017/8/23,4.37亿,4.26亿,2.6,14.68,21.36,-31.27,9.72亿,10.52亿,-7.57,-5549.86万,0.5
10842,002366,台海核电,2018-03-31,2017/4/18,1.84亿,1.62亿,13.67,6.49,8.68,-25.23,4.65亿,4.32亿,7.61,-6112.55万,0.21
10843,002366,台海核电,2017-12-31,2017/4/18,10.14亿,3.92亿,158.45,44.64,24.61,81.39,24.70亿,12.10亿,104.1,-1.01亿,1.17
10844,002366,台海核电,2017-09-30,2016/10/26,6.54亿,3.54亿,84.99,31.23,22.41,39.36,16.06亿,7.98亿,101.08,-1.66亿,0.75
10845,002366,台海核电,2017-06-30,2016/8/16,4.26亿,2.83亿,50.4,21.36,18.26,16.98,10.52亿,5.65亿,86.12,4850.91万,0.98
10846,002366,台海核电,2017-03-31,2016/4/30,1.62亿,1.12亿,44.19,8.68,7.65,13.46,4.32亿,2.54亿,69.98,-1216.16万,0.37
10847,002366,台海核电,2016-12-31,2016/4/30,3.92亿,1758.44万,2131.14,24.61,1.7,1347.65,12.10亿,3.94亿,207.47,1.04亿,0.9
10848,002366,台海核电,2016-09-30,2015/10/29,3.54亿,-7073.07万,600.11,22.41,-7.1,415.63,7.98亿,1.70亿,369.53,-8107.31万,0.82
10849,002366,台海核电,2016-06-30,2015/8/11,2.83亿,2216.60万,1177.31,18.26,1.55,1078.06,5.65亿,1.59亿,255.9,9309.99万,0.65
10850,002366,台海核电,2016-03-31,2015/4/17,1.12亿,129.53万,8556.47,7.65,1.0,665.0,2.54亿,5721.66万,343.96,3121.89万,0.26
10851,002366,台海核电,2015-12-31,2015/4/17,1758.44万,1.86亿,-90.55,1.7,4.85,-64.95,3.94亿,5.33亿,-26.1,2.42亿,0.05
10852,002366,台海核电,2015-09-30,2014/10/20,-9289.67万,8469.61万,-209.68,-7.1,4.65,-252.69,1123.74万,2.93亿,-96.16,-8464.72万,-0.23
10853,002366,台海核电,2015-06-30,2014/8/19,1147.52万,2678.47万,-57.16,1.55,3.65,-57.53,2.69亿,3.15亿,-14.4,4187.71万,0.09
10854,002366,台海核电,2015-03-31,2014/4/22,734.33万,1170.76万,-37.28,1.0,1.59,-37.11,1.12亿,1.47亿,-23.82,1415.78万,0.06
10962,002370,亚太药业,2018-09-30,2017/10/24,1.67亿,1.51亿,10.64,6.89,6.7,2.84,9.59亿,8.24亿,16.28,755.34万,0.31
10963,002370,亚太药业,2018-06-30,2017/8/23,1.31亿,1.02亿,29.27,5.44,4.55,19.56,6.62亿,4.95亿,33.88,3629.78万,0.24
10964,002370,亚太药业,2018-03-31,2017/4/29,6549.29万,4676.47万,40.05,2.74,2.12,29.25,3.19亿,2.46亿,29.48,-4351.73万,0.12
10965,002370,亚太药业,2017-12-31,2017/4/22,2.02亿,1.25亿,61.35,8.91,10.82,-17.65,10.83亿,8.63亿,25.51,1.28亿,0.38
10966,002370,亚太药业,2017-09-30,2016/10/29,1.51亿,8553.25万,76.01,6.7,10.48,-36.07,8.24亿,5.93亿,39.03,9651.60万,0.28
10967,002370,亚太药业,2017-06-30,2016/8/27,1.02亿,6398.65万,58.79,4.55,7.9,-42.41,4.95亿,4.27亿,15.8,7957.31万,0.38
10968,002370,亚太药业,2017-03-31,2016/4/19,4676.47万,2420.18万,93.23,2.12,3.04,-30.26,2.46亿,2.06亿,19.6,6156.46万,0.17
10969,002370,亚太药业,2016-12-31,2016/3/29,1.25亿,5549.93万,125.75,10.82,7.27,48.83,8.63亿,4.63亿,86.31,-3804.77万,0.57
10970,002370,亚太药业,2016-09-30,2015/10/24,8553.25万,4312.01万,98.36,10.48,5.69,84.18,5.93亿,2.99亿,98.62,-3765.36万,0.42
10971,002370,亚太药业,2016-06-30,2015/8/15,6398.65万,3156.56万,102.71,7.9,4.17,89.45,4.27亿,2.00亿,114.0,-6435.22万,0.31
10972,002370,亚太药业,2016-03-31,2015/4/25,2420.18万,1458.15万,65.98,3.04,1.93,57.51,2.06亿,9391.87万,119.45,-1.20亿,0.12
10973,002370,亚太药业,2015-12-31,2015/3/21,5549.93万,4056.80万,36.81,7.27,5.57,30.52,4.63亿,3.76亿,23.31,1.01亿,0.27
10974,002370,亚太药业,2015-09-30,2014/10/25,4312.01万,2798.01万,54.11,5.69,3.87,47.03,2.99亿,2.77亿,7.86,3111.14万,0.21
10975,002370,亚太药业,2015-06-30,2014/8/19,3156.56万,2253.16万,40.09,4.17,3.15,32.38,2.00亿,1.95亿,2.42,2706.39万,0.15
10976,002370,亚太药业,2015-03-31,2014/4/26,1458.15万,1413.64万,3.15,1.93,1.97,-2.03,9391.87万,9778.70万,-3.96,12.17万,0.07
10993,002371,北方华创,2018-09-30,2017/10/30,1.69亿,8026.36万,110.12,4.98,2.49,100.0,21.01亿,15.50亿,35.59,5349.34万,0.37
10994,002371,北方华创,2018-06-30,2017/8/24,1.19亿,5278.88万,125.44,3.53,1.64,115.24,13.95亿,10.45亿,33.44,-3274.95万,0.26
10995,002371,北方华创,2018-03-31,2017/4/22,1535.95万,160.40万,857.58,0.46,0.05,820.0,5.42亿,4.15亿,30.85,-2.55亿,0.03
10996,002371,北方华创,2017-12-31,2017/3/16,1.26亿,9290.16万,35.21,3.87,3.6,7.5,22.23亿,16.22亿,37.01,3162.07万,0.27
10997,002371,北方华创,2017-09-30,2016/10/26,8026.36万,6277.33万,27.86,2.49,2.58,-3.49,15.50亿,10.38亿,49.25,-2.09亿,0.18
10998,002371,北方华创,2017-06-30,2016/8/18,5278.88万,4064.77万,29.87,1.64,1.11,47.75,10.45亿,7.02亿,48.87,-83.79万,0.12
10999,002371,北方华创,2017-03-31,2016/4/27,160.40万,-604.70万,126.53,0.05,0.03,66.67,4.15亿,2.60亿,59.71,-501.56万,0.0
11000,002371,北方华创,2016-12-31,2016/3/31,9290.16万,6340.80万,46.51,3.6,2.09,72.25,16.22亿,12.20亿,32.95,-2.01亿,0.22
11001,002371,北方华创,2016-09-30,2015/10/21,6277.33万,2564.04万,144.82,2.58,2.13,21.13,10.38亿,7.31亿,42.13,-1.51亿,0.15
11002,002371,北方华创,2016-06-30,2015/8/22,2072.13万,2002.92万,3.46,1.11,1.09,1.83,4.97亿,3.18亿,56.14,-6926.64万,0.06
11003,002371,北方华创,2016-03-31,2015/4/29,62.13万,209.56万,-70.35,0.03,0.11,-72.73,1.78亿,1.17亿,51.88,-1151.89万,0.0
11004,002371,北方华创,2015-12-31,2015/3/11,3864.79万,4187.24万,-7.7,2.09,2.29,-8.73,8.54亿,9.62亿,-11.15,-4355.49万,0.11
11005,002371,北方华创,2015-09-30,2014/10/30,3942.99万,3589.34万,9.85,2.13,1.96,8.67,5.23亿,5.65亿,-7.45,-9850.71万,0.11
11006,002371,北方华创,2015-03-31,2014/4/29,209.56万,178.11万,17.66,0.11,0.1,10.0,1.17亿,1.64亿,-28.27,-4903.47万,0.01
11084,002374,丽鹏股份,2018-09-30,2017/10/28,2300.78万,1.11亿,-79.22,0.72,3.5,-79.43,9.69亿,12.87亿,-24.66,-4.78亿,0.03
