证券代码,净利润增长率%,加权平均ROE本期,加权平均ROE上年同期,加权平均ROE增长率%,营业收入增长率%,基本
600015,221.54,152.31,157.0,-15.89,150.54,14.15
600016,221.41,177.45,178.65,4.42,162.67,10.44
600017,75.56,61.52,67.92,-30.0,89.62,1.63
600018,121.35,115.27,112.97,40.79,80.54,2.49
600019,945.21,67.03,61.78,769.32,22.39,4.26
600020,293.21,76.47,71.92,204.49,144.43,2.55
600021,312.81,91.04,59.12,245.82,59.46,3.5
600022,-2004.09,-28.24,-28.82,-5498.14,-62.56,-0.66
600023,-19.8,47.51,60.31,-87.75,1.15,1.82
600026,-3170.5,22.52,43.88,-2769.22,-60.68,1.57
600027,1803.69,91.08,70.85,1534.61,88.98,2.95
600028,116.46,102.65,104.75,22.94,68.26,5.15
600029,1599.95,114.69,50.61,872.54,90.76,3.41
600030,171.0,104.57,110.24,65.8,179.93,9.12
600031,4916.25,191.96,206.57,777.19,142.59,5.11
600033,-4.52,73.99,87.15,-68.02,16.0,2.05
600035,104.39,87.3,89.57,10.31,172.9,2.69
600036,139.5,184.18,195.05,-44.2,156.98,18.0
600037,101.15,62.96,64.91,-7.59,73.6,3.74
600038,199.18,121.98,124.56,-4.42,125.02,9.12
600039,511.75,107.45,99.3,363.97,188.72,3.38
600048,227.42,173.78,174.71,-1.13,267.01,10.64
600050,65.76,26.48,47.22,29.22,57.69,0.93
600051,408.4,81.52,69.15,326.5,117.89,4.89
600052,-34.07,52.31,71.74,-157.09,-82.28,1.23
600053,624.04,107.94,119.9,462.8,180.17,3.22
600054,117.31,108.42,115.23,-21.13,76.43,4.27
600055,251.9,59.38,59.28,97.22,36.88,1.73
600056,219.35,137.26,132.64,48.92,224.75,7.78
600057,209.36,58.76,61.31,26.92,237.07,1.88
600058,-1867.99,-42.81,-32.19,-2428.65,-4.98,-2.41
600059,91.67,51.6,55.43,-36.18,89.78,1.9100000000000001
600060,251.48,142.59,143.37,63.1,98.63,10.63
600061,726.66,48.79,40.69,2043.1,64.19,2.83
600062,70.75,115.7,117.7,2.58,20.66,9.04
600063,712.55,21.94,23.28,631.73,103.06,0.72
